beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,height_cm,shoulder_width_cm,chest_circumference_cm,waist_circumference_cm,hip_circumference_cm,arm_length_cm,leg_length_cm
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,226.15387439727783,48.36342930793762,97.13398814201355,40.32060205936432,99.6137797832489,65.77041447162628,139.11714553833008
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,0.0,227.06937789916992,47.58418798446655,96.80125713348389,38.673558831214905,98.40352535247803,65.97319543361664,139.4984781742096
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,5.0,228.02631855010986,47.87798225879669,95.33471465110779,37.944549322128296,97.65249490737915,66.18093848228455,139.88369703292847
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,-5.0,225.58917999267578,48.35320711135864,104.88168001174927,44.74407434463501,105.6302547454834,67.2222226858139,138.33739757537842
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,226.55396461486816,49.65567588806152,103.25968265533447,43.63442659378052,105.16374111175537,67.42245554924011,138.7168288230896
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,5.0,227.5216579437256,48.364874720573425,101.40266418457031,42.60621964931488,103.80479097366333,67.62756109237671,139.10011053085327
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,225.0913381576538,48.37821125984192,111.14927530288696,50.1378059387207,110.50294637680054,68.67782473564148,137.5698685646057
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,226.04734897613525,46.927472949028015,109.32726860046387,49.01888370513916,109.21181440353394,68.87558102607727,137.947279214859
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,227.01704502105713,48.409292101860046,107.73570537567139,47.871267795562744,107.88029432296753,69.07814145088196,138.32849264144897
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,223.98736476898193,49.7237890958786,74.9519944190979,41.107380390167236,72.98527956008911,66.20338261127472,135.4200780391693
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,0.0,224.89125728607178,48.842811584472656,73.42792749404907,40.40245711803436,73.18471670150757,66.39339923858643,135.8020842075348
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,5.0,225.79903602600098,49.551546573638916,73.37286472320557,39.779096841812134,72.36206531524658,66.58832132816315,136.18817925453186
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,223.42281341552734,47.184938192367554,82.4517548084259,46.430784463882446,77.60058641433716,67.66403913497925,134.64933037757874
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,224.32258129119873,46.266791224479675,80.89853525161743,45.226097106933594,76.59205794334412,67.85170137882233,135.02943515777588
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,5.0,225.24614334106445,46.915602684020996,79.38401103019714,44.73186135292053,76.67818069458008,68.04417073726654,135.4136347770691
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,-5.0,222.90632724761963,44.40222978591919,88.53045105934143,52.26301550865173,77.39406228065491,69.12819743156433,133.89119505882263
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,0.0,223.81510734558105,44.9773371219635,86.94154024124146,50.945842266082764,76.61913633346558,69.31357383728027,134.26932096481323
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,5.0,5.0,224.75430965423584,44.10204589366913,85.3878915309906,49.90434646606445,77.5613784790039,69.50368583202362,134.65149402618408
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,224.29931163787842,49.46097731590271,80.3687036037445,36.728957295417786,83.42637419700623,66.33009314537048,135.49156188964844
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,0.0,225.20320415496826,50.23398399353027,79.93608713150024,35.5606734752655,82.22358822822571,66.5237545967102,135.87570786476135
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,5.0,226.1120080947876,49.021634459495544,78.42885255813599,34.90610420703888,81.21925592422485,66.72231256961823,136.2638235092163
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,-5.0,223.72055053710938,47.06997871398926,89.54561948776245,41.91798269748688,89.25163149833679,67.78908669948578,134.71258878707886
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,224.6375560760498,47.834622859954834,87.76888847351074,40.810415148735046,88.42052817344666,67.98033118247986,135.09482145309448
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,5.0,225.60038566589355,46.880996227264404,85.97986102104187,39.95622992515564,87.14563250541687,68.17641258239746,135.4810118675232
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,-5.0,223.20830821990967,45.86252570152283,95.79894542694092,47.49620258808136,93.668133020401,69.25162971019745,133.94612073898315
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,0.0,224.14751052856445,44.96762752532959,94.09080743789673,46.24563455581665,91.93748235702515,69.44055557250977,134.32631492614746
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5.0,5.0,225.09565353393555,45.70612907409668,92.41582751274109,45.17267048358917,90.69225788116455,69.63423490524292,134.71043705940247
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,-5.0,-5.0,224.6112585067749,49.19816255569458,88.56583833694458,35.41277050971985,92.02587604522705,66.46086275577545,135.59706807136536
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,-5.0,0.0,225.5225419998169,49.160435795784,87.02244162559509,34.70465540885925,90.65481424331665,66.65814518928528,135.983407497406
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,-5.0,5.0,226.47531032562256,48.328959941864014,86.71329021453857,34.102532267570496,89.31574821472168,66.86034798622131,136.37361526489258
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,-5.0,224.04227256774902,48.65051805973053,96.96388244628906,38.13773691654205,98.03470373153687,67.91812777519226,134.81019735336304
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,0.0,225.00391006469727,47.41621911525726,94.99458074569702,37.106794118881226,96.63963317871094,68.1129515171051,135.1946234703064
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,0.0,5.0,225.96869468688965,47.896820306777954,93.86593103408813,36.065226793289185,95.27405500411987,68.31263601779938,135.58286428451538
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,5.0,-5.0,223.55024814605713,45.840612053871155,103.0132532119751,43.287256360054016,103.28758955001831,69.37898695468903,134.03573036193848
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,5.0,0.0,224.49727058410645,44.935160875320435,101.12571716308594,42.025840282440186,101.9085168838501,69.571453332901,134.41806435585022
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0,5.0,5.0,5.0,225.46205520629883,45.73955833911896,99.12360906600952,41.12183749675751,100.55683851242065,69.76869702339172,134.80421900749207
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,-5.0,222.48501777648926,48.98008108139038,66.5905773639679,34.477221965789795,66.96105599403381,66.91054999828339,131.90693855285645
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,0.0,223.38979244232178,48.3901172876358,65.02155661582947,33.2837849855423,66.55123233795166,67.09518134593964,132.29421377182007
